Rank,Count (Max),Count (Avg)
0,17,17
1,274,274
2,2073,2073
3,9776,9776
4,32180,32180
5,78456,78456
6,146700,146700
7,215000,215032
8,250798,250766
9,237580,237628
10,194286,194238
11,165784,165784
12,190541,190573
13,270794,271386
14,368580,372696
15,436000,453828
16,458772,502692
17,466986,517652
18,493995,556782
19,530940,483790
20,535614,521952
21,482602,434985
22,391485,379487
23,308586,329879
24,271808,337576
25,287660,371319
26,328693,406798
27,353282,412927
28,337390,373834
29,291536,317585
30,247207,264222
31,226710,223048
32,224032,172372
33,213178,114454
34,175453,61064
35,117410,24580
36,61615,7152
37,24588,1440
38,7176,177
39,1440,10
40,177,0
41,10,0
