Rank,Count (Max),Count (Avg)
0,17,17
1,274,274
2,2088,2088
3,10088,10088
4,34412,34423
5,88525,88690
6,178791,179898
7,291433,296986
8,394875,415846
9,460343,518404
10,481162,607180
11,475097,687424
12,464811,756991
13,464496,797981
14,478943,797424
15,494147,757036
16,500231,691320
17,480687,618937
18,444813,552246
19,399882,485900
20,359574,409238
21,325619,314837
22,297289,213111
23,276078,122090
24,267240,54759
25,270161,18255
26,270732,4557
27,263863,995
28,242506,171
29,211758,15
30,170263,3
31,130992,0
32,94402,0
33,61028,0
34,32350,0
35,13310,0
36,3995,0
37,805,0
38,98,0
39,6,0
