,rank effect,count
0,-20,129
1,-19,32620
2,-18,806668
3,-17,1691622
4,-16,482076
5,-15,603813
6,-14,616816
7,-13,1749775
8,-12,4426399
9,-11,16524557
10,-10,8120695
11,-9,21518804
12,-8,6836493
13,-7,13772067
14,-6,4891965
15,-5,24896676
16,-4,5808051
17,-3,29717365
18,-2,18624429
19,-1,342174171
20,0,38475348
21,1,532905348
22,2,24262906
23,3,36053197
24,4,7535003
25,5,26810160
26,6,4886244
27,7,8572277
28,8,3416732
29,9,8210241
30,10,1950366
31,11,959021
32,12,274939
33,13,978574
34,14,231205
35,15,376905
36,16,111244
37,17,3893
38,18,6
