Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-11,144,0,0,0,144,0
-10,0,16,0,0,0,16
-9,208,53,0,0,208,53
-8,0,106,0,0,0,106
-7,876,157,0,0,900,157
-6,0,141,0,0,0,141
-5,3114,561,0,0,3274,673
-4,0,1253,0,0,0,1298
-3,4142,3209,0,0,4688,3292
-2,0,3946,0,0,0,4502
-1,37610,33529,0,0,51134,42693
0,0,3103,0,0,0,11626
1,0,20,29,29,33589,29826
2,0,0,0,0,0,3028
3,0,0,0,0,4496,2273
4,0,0,0,0,0,1445
5,0,0,0,0,2670,2032
6,0,0,0,10,0,1027
7,0,0,16,6,2860,1614
8,0,0,0,0,0,334
9,0,0,0,0,2024,234
10,0,0,0,0,0,121
11,0,0,0,0,432,180
12,0,0,0,2,0,34
13,0,0,2,0,286,0
