Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,199725,199729,199664,199901,199487,199880,199817,199857,200083,200078
2,152264,152672,153085,152640,152699,152614,152442,152313,152717,152250
3,89818,89423,89266,89075,89381,89465,89383,89767,89328,89434
4,39468,39413,39266,39537,39560,39175,39526,39256,39185,39449
5,13766,13791,13719,13781,13704,13803,13746,13763,13655,13778
6,1160,410,408,475,353,1989,448,500,453,505
7,1777,2089,2043,2129,1810,1690,2044,1953,2051,1948
8,1181,2068,2155,2055,2443,705,2164,2139,2120,2151
9,507,373,368,369,518,354,404,421,367,377
10,243,29,26,37,44,209,25,31,41,30
11,80,3,0,1,1,82,1,0,0,0
12,4,0,0,0,0,19,0,0,0,0
13,3,0,0,0,0,7,0,0,0,0
14,2,0,0,0,0,4,0,0,0,0
15,2,0,0,0,0,2,0,0,0,0
16,0,0,0,0,0,2,0,0,0,0
