Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16
1,8607,8667,8602,8596,8610,8615,8645,8596,8576,8624,8549,8589,8650,8596,8638,8571,8582
2,37485,37565,37444,37577,37610,37529,37574,37673,37500,37661,37473,37632,37510,37629,37575,37641,37604
3,5370,6534,5603,5283,5448,5008,5020,4821,5166,5210,5014,5099,4888,4738,2996,3254,2453
4,55179,47937,49306,47072,45708,46052,44491,42488,44606,44351,43112,44389,47449,53217,65371,64539,71434
5,121377,114690,116414,118552,117728,119052,117435,117173,116040,116313,118093,117965,119220,119001,122846,122999,123262
6,20082,20387,16718,14273,13773,12720,12384,11902,13255,13051,11965,12240,12456,14101,11437,12033,10674
7,72398,64463,66560,63746,63171,63220,62077,61924,64492,63940,61787,62298,63642,68851,86326,84786,94487
8,101713,102970,104025,110300,110039,111821,112271,112785,108391,108327,112355,112084,111533,104469,95867,96159,88535
9,11540,13238,11393,9193,9271,7958,8072,8172,9609,9625,8237,7914,7682,9187,6942,7306,6490
10,20622,27136,29079,28111,29764,29044,30599,31343,32339,32615,31272,30153,28705,29099,29277,27900,25833
11,33302,37628,37174,40357,40714,41494,42409,42872,39687,39930,42532,42530,41473,35934,24699,26149,22682
12,2845,3558,3032,2232,2404,2005,2027,2415,2945,2907,2334,2151,1800,2222,1284,1427,1524
13,2474,5703,5860,5710,6312,6301,6850,7365,7609,7781,7291,6841,5943,5468,3505,3400,2541
14,5905,7207,6788,7211,7426,7375,7980,7974,7207,7096,7571,7937,7417,6022,2750,3255,3301
15,303,522,401,305,353,267,292,377,516,482,400,282,228,259,92,117,144
16,148,722,683,653,774,666,916,1065,995,1040,989,890,615,557,200,226,130
17,574,877,758,709,743,735,812,857,816,834,826,834,692,538,183,215,300
18,16,51,46,26,22,27,26,34,57,43,40,22,15,26,3,3,6
19,11,67,56,43,62,60,60,96,91,104,87,81,41,49,4,9,7
20,46,61,53,43,57,47,50,56,80,49,67,60,40,31,5,11,11
21,0,3,1,4,1,1,1,2,6,3,1,0,0,4,0,0,0
22,0,9,3,2,5,1,4,6,9,7,5,7,0,2,0,0,0
23,2,4,1,2,4,2,5,4,6,7,0,2,1,0,0,0,0
24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
