Node,2,13,24,36,47,59,70,81,93,104,116
0,1266,13003,18939,10582,4807,1165,195,39,4,0
1,1231,12883,18990,10605,4856,1166,235,32,2,0
2,1205,13067,18973,10651,4706,1131,241,25,1,0
3,1317,13120,18916,10580,4666,1132,223,41,5,0
4,1226,12996,18990,10608,4742,1169,227,38,4,0
5,1220,12948,18991,10611,4838,1122,230,39,1,0
6,1206,13023,19045,10518,4816,1141,212,36,0,3
7,1193,13070,18942,10565,4766,1203,229,31,1,0
8,1161,13063,18967,10675,4723,1141,226,40,4,0
9,1238,13109,18880,10711,4625,1175,216,40,6,0
10,1211,13203,18862,10543,4747,1165,223,40,5,1
11,1163,13041,18986,10623,4761,1153,241,31,1,0
12,1226,13196,18907,10499,4762,1134,241,34,0,1
13,1257,13010,18984,10631,4678,1209,206,23,2,0
14,1260,13056,18872,10671,4792,1088,225,34,2,0
15,1190,13121,18885,10590,4868,1101,215,29,1,0
16,1204,13035,18949,10640,4734,1167,238,31,2,0
17,1270,13121,18863,10614,4771,1093,220,42,5,1
18,1187,13098,19115,10561,4680,1116,206,34,3,0
19,1251,13100,18878,10652,4768,1104,206,39,2,0
